Well ,mTVDSS,Northing,Easting,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,BRIT_PR.                     :  Brittleness Index from Poisson's Ratio,BRIT_YM.                     :  Brittleness Index from Young's Modulus,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMBDA.                     :  Lambda,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,SHMAX_GRAD.                     :  Horizontal Stress Gradient (Max),SHMIN_GRAD.                     :  Horizontal Stress Gradient (Min),STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),UCS_LAL.PSI                  :  Uniaxial Compressive Strength (lal),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),Difference[PP-PWELL]
105,2795.13539,839185.2579,2516793.718,41.473,72.563,54.921,90.206,1281.981,61.927,105.249,11979.925,7048.858,18.137,18.137,44.146,20.413,0.235,9645.674,9815.071,6257.722,0.212,1640.986,2.467,1.573,8997.416,3240.794,5688.247,16147.993,1.7,9501.305,7.314,4.883,73.70182
105,2800.650663,839185.2262,2516793.735,42.762,77.234,50.99,103.479,1341.285,58.283,100.553,12970.554,7518.021,22.254,22.254,55.194,22.789,0.247,9666.573,9832.516,6347.71,0.222,2296.688,2.466,1.592,10488.797,3744.189,6134.636,17157.75,1.725,9945.014,8.243,5.728,74.826531
105,2807.395851,839185.1874,2516793.755,41.913,70.998,50.289,91.708,1301.96,60.666,104.956,12198.621,7050.998,20.335,20.335,49.373,20.477,0.249,9692.125,9858.144,6371.773,0.224,2309.869,2.467,1.595,10563.284,3296.255,5836.618,16483.615,1.73,9527.793,7.42,4.976,76.163391
105,2814.08627,839185.1489,2516793.775,42.63,72.064,47.799,96.33,1335.093,58.65,102.499,12484.204,7143.443,22.395,22.395,53.798,21.242,0.257,9717.69,9881.796,6435.554,0.231,2711.485,2.467,1.607,11494.078,3469.307,6087.185,17050.414,1.748,9756.221,7.743,5.267,77.483711
105,2820.730553,839185.1106,2516793.794,40.113,59.425,38.943,79.907,1221.895,65.936,119.887,12668.45,6967.448,23.134,23.134,63.399,17.714,0.283,9743.266,9898.326,6642.05,0.255,2567.777,2.465,1.654,11619.654,2870.961,5254.251,15166.269,1.818,8341.209,6.593,4.263,78.785586
105,2827.33495,839185.0623,2516793.806,40.225,62.202,43.906,80.499,1226.751,65.599,116.571,12256.762,6897.378,20.88,20.88,55.081,18.035,0.268,9768.272,9929.647,6540.752,0.241,2627.438,2.467,1.625,11536.38,2891.73,5288.644,15244.065,1.777,8578.456,6.635,4.297,79.969574
105,2833.906009,839185.0099,2516793.814,37.231,39.789,29.013,50.564,1102.14,75.005,143.753,10773.809,5621.409,19.943,19.943,52.874,11.919,0.313,9793.288,9937.9,6901.043,0.282,2739.413,2.464,1.711,12480.913,1916.809,4443.524,13332.355,1.917,6956.372,4.54,2.662,81.130258
105,2840.449387,839184.9576,2516793.822,39.028,57.828,42.842,72.814,1175.655,69.257,123.658,11974.522,6706.618,19.638,19.638,53.432,16.531,0.271,9818.315,9979.955,6585.533,0.244,1947.053,2.469,1.629,10265.172,2626.834,4932.695,14438.89,1.786,8086.847,6.097,3.853,82.264707
105,2846.971333,839184.9055,2516793.831,36.395,40.959,38.189,43.729,1069.133,77.789,141.958,9256.819,5072.488,14.489,14.489,34.228,10.891,0.285,9843.353,10000.429,6701.85,0.257,2144.074,2.468,1.654,10891.847,1715.719,4232.632,12855.304,1.825,7044.361,4.061,2.324,83.371457
105,2853.476908,839184.856,2516793.832,41.665,71.346,47.282,95.41,1290.67,61.375,107.492,12995.516,7420.023,22.459,22.459,58.77,21.04,0.258,9867.819,10035.774,6508.727,0.232,2259.908,2.471,1.603,10737.27,3434.588,5752.521,16293.385,1.751,9303,7.679,5.208,84.35409
