Frac Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrophysical Details,,,,,,,Depth Details,,,,,,,,First PLT Details,,,,,,,,,,,,Second PLT Details,,,,,,,,,,,PLT Details (2021-22),,,,,,,,,,
Campaign,Well,Pad,Stage,Date of Frac,Formation,No. of Clusters,Total Holes,Max Injection Rate,Pre-Frac BH ISIP Grad,MF BH ISIP Grad,Design Proppant ,100 Mesh,40-70,20-40,16-30,Actual Proppant,Max PPA,Clean Volume,Slurry Volume,Total XL Fluid,Max HHP,Frac Pumped,Refrac,SRT,SDT,DFIT / MFO,MinFrac / Datafrac,Temp Survey,DFIT Signature (PDL/HR/Normal/Other),Transmissibility (if ACA for DFIT done),Flush called @ PPA,Remarks,Net Pay (m),Net Pay fraction (%),Stage Kh (mDM),Stage Kh fraction (%),Stage Permeability (MD),Proppant per Net pay (Actual),Remarks_2,Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Spread of Stage,Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Topmost Cluster (mTVDSS),Topmost Cluster (Northing),Topmost Cluster (Easting),Date of PLT/FGS,Water (bpd),Water Contri (%),Oil (bpd),Oil Contri (%),Gas (MSCFD),Gas Contri (%),BHP (psia),Reservoir Pressure (psia),Gas PI (SCFD/psi),No. of Contributing Clusters (during 1st PLT),First PLT Remark,Date of PLT/FGS_2,Water_2 (bpd),Water Contri_2 (%),Oil_2 (bpd),Oil Contri_2 (%),Gas_2 (MSCFD),Gas Contri_2 (%),BHP_2 (psia),Reservoir Pressure_2 (psia),Gas PI_2 (SCFD/psi),Secod PLT Remark,Date of PLT/FGS_3,Water_3 (bpd),Water Contri_3 (%),Oil_3 (bpd),Oil Contri_3 (%),Gas_3 (MSCFD),Gas Contri_3 (%),BHP_3 (psia),Reservoir Pressure_3 (psia),Gas PI_3 (SCFD/psi),PLT (2021-22) Remark
5-W,Raag-20,5,5,30/Jun/2015,Fatehgarh,4,24,35.7,0.84,0.83,"318,976","11,280",,"242,020 ","59,929 ","313,229 ",9.5,3358,3636,,,Yes,No,Yes,Yes,No,Yes,,,,,,30.0,21%,41.3,67%,1.376,"10,434",,2977.0,3036.5,59.5,2833.8,2891.7,2769.4,836309.3,2517746.4,05-Oct-15,0.0,#DIV/0!,45.2,21.92%,864.2,23.74%,3899,5084,729.5,3,,22-Sep-18,0.0,0.00%,92.1,18.25%,1987.0,38.45%,3024,5084,964.8,,22-Sep-18,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5084,#DIV/0!,
5-W,Raag-20,5,4,18/Apr/2015,Basalt,3,48,30.0,0.82,0.82,"327,293","12,136",,"178,870 ","64,600 ","255,606 ",8.3,2492,2719,,,Yes,No,No,No,Yes,Yes,,HR,,,Secondary Storage signature due to either Height Growth or Transverse Storage mechanism,4.6,3%,0.7,1%,0.144,"55,567",,3119.4,3153.5,34.1,2972.6,3005.8,2908.2,836334.5,2517751.7,05-Oct-15,0.0,#DIV/0!,85.4,41.45%,1574.2,43.25%,3943,5139,1315.6,2,,22-Sep-18,0.0,0.00%,84.8,16.80%,1786.4,34.57%,3085,5139,869.7,,22-Sep-18,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5139,#DIV/0!,
5-W,Raag-20,5,3,14/Apr/2015,Basalt,2,38,30.2,0.74,0.73,"202,854","11,140",,"125,973 ","76,916 ","213,819 ",9.1,1942,2133,,,Yes,No,No,No,Yes,Yes,,HR,,,Secondary Storage signature due to either Height Growth or Transverse Storage mechanism,25.0,17%,5.4,9%,0.218,"8,570",,3305.7,3330.3,24.6,3152.5,3175.9,3088.1,836382.1,2517757.8,05-Oct-15,0.0,#DIV/0!,52.9,25.69%,847.2,23.28%,4007,5211,703.5,2,,22-Sep-18,9.4,20.02%,122.7,24.32%,614.8,11.90%,3194,5211,304.8,,22-Sep-18,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5211,#DIV/0!,
5-W,Raag-20,5,2,10/Apr/2015,Basalt,2,40,30.2,0.75,0.67,"117,331","6,600",,"67,757 ","18,242 ","92,599 ",6.2,1404,1486,,,Yes,No,No,No,Yes,Yes,,HR,,,Secondary Storage signature due to either Height Growth or Transverse Storage mechanism,34.0,24%,7.2,12%,0.212,"2,726",,3349.0,3367.5,18.5,3193.7,3211.4,3129.3,836393.2,2517759.9,05-Oct-15,0.0,#DIV/0!,19.0,9.20%,294.7,8.10%,4027,5227,245.4,2,,22-Sep-18,9.4,20.02%,101.5,20.12%,429.5,8.31%,3223,5227,214.3,,22-Sep-18,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5227,#DIV/0!,
5-W,Raag-20,5,1,13/Mar/2015,Felsic,1,119,25.0,1.13,0.78,"251,399","7,043",,"207,834 ","41,731 ","256,608 ",8.7,2228,2457,,,Yes,No,Yes,Yes,Yes,No,,HR,,,Secondary Storage signature due to either Height Growth or Transverse Storage mechanism,49.2,34%,6.8,11%,0.138,"5,219",,3453.0,3459.0,6.0,3292.5,3298.2,3228.1,836419.7,2517765.7,05-Oct-15,0.0,#DIV/0!,3.6,1.73%,59.6,1.64%,4153,5267,53.5,1,,22-Sep-18,28.3,59.97%,103.6,20.52%,350.1,6.77%,3325,5267,180.2,,22-Sep-18,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5267,#DIV/0!,
15-W,Raag-21,5,5,02/Jan/2016,Fatehgarh,3,24,30.3,0.79,0.84,"258,000","11,000",,"184,245 ","72,750 ","267,536 ",8.0,1944,2235,,,Yes,No,Yes,Yes,No,No,Yes,,,,Temp survey post main frac (Shallow Tag),17.4,14%,24.8,46%,1.427,"15,384",,2977.5,3016.0,38.5,2873.8,2911.0,2809.4,835517.4,2518442.8,23-Sep-16,0.0,0.00%,51.6,13.76%,1129.9,19.88%,3182,5100,589.2,1,,22-Jul-17,0.0,0.00%,39.5,13.90%,696.5,14.06%,3381,5100,405.4,,29-Dec-21,0.0,0.00%,10.7,21.29%,154.7,10.24%,596,5100,34.3,
15-W,Raag-21,5,4,22/Dec/2015,Fatehgarh,3,24,30.4,N/A,0.81,"258,000","11,000",,"203,992 ","65,114 ","279,218 ",7.5,2008,2273,,,Yes,No,No,No,No,No,No,,,,,18.2,14%,14.9,27%,0.818,"15,359",,3033.2,3057.3,24.1,2927.7,2951.1,2863.3,835519.8,2518452.7,23-Sep-16,0.0,0.00%,63.4,16.88%,1325.5,23.32%,3207,5121,692.6,3,,22-Jul-17,0.0,0.00%,41.1,14.45%,734.3,14.82%,3398,5121,426.2,,29-Dec-21,0.0,0.00%,2.6,5.12%,70.8,4.68%,600,5121,15.6,
15-W,Raag-21,5,3,17/Dec/2015,Basalt,3,24,28.2,N/A,1.02,"258,000","11,000",,"156,250 ","34,424 ","201,036 ",6.5,1745,1928,,"6,319 ",Yes,No,No,No,No,No,No,,,,,17.4,14%,2.5,5%,0.145,"11,574",,3127.7,3171.8,44.1,3019.2,3061.7,2954.8,835527.0,2518481.3,23-Sep-16,0.0,0.00%,98.5,26.25%,2062.0,36.28%,3230,5158,1069.4,2,,22-Jul-17,0.0,0.00%,132.1,46.46%,2293.6,46.30%,3433,5158,1330.0,,29-Dec-21,0.0,0.00%,33.0,65.37%,1131.0,74.85%,609,5158,248.7,
15-W,Raag-21,5,2,13/Dec/2015,Basalt,2,24,35.3,N/A,0.96,"258,000","10,986",,"191,095 ","78,056 ","280,319 ",8.4,2098,2356,,"7,714 ",Yes,No,No,No,No,No,No,,,,,28.8,23%,5.4,10%,0.188,"9,720",,3218.0,3237.7,19.7,3106.2,3125.1,3041.8,835532.2,2518498.3,23-Sep-16,0.0,0.00%,37.4,9.98%,366.2,6.44%,3270,5192,190.4,2,,22-Jul-17,0.0,0.00%,33.9,11.92%,586.3,11.84%,3475,5192,341.3,,29-Dec-21,11.1,80.48%,1.8,3.63%,66.9,4.43%,653,5192,14.7,
15-W,Raag-21,5,1,10/Dec/2015,Basalt,5,42,23.4,0.86,0.98,"400,000","6,600",,"266,307 ","50,806 ","321,722 ",7.3,2658,2950,,"4,867 ",Yes,No,No,No,No,Yes,Yes,,,,Temp survey post mini & main frac,44.3,35%,6.6,12%,0.150,"7,257",,3271.0,3361.0,90.0,3157.0,3243.0,3092.6,835543.5,2518532.8,23-Sep-16,4.7,100.00%,124.4,33.14%,799.9,14.07%,3301,5213,418.4,1,,22-Jul-17,80.0,100.00%,37.7,13.27%,643.1,12.98%,3509,5213,377.4,,29-Dec-21,2.7,19.52%,2.3,4.60%,87.7,5.80%,694,5213,19.4,
